movie_id,total_comments,title,taiwan_release_date,taiwan_date,taiwan_year,Holiday,Hours,Minutes,TotalMinutes,expected_rating,num_exp_votes,actual_rating,num_actual_votes,boxoffice_taiwan(10thousand),china_release_date,china_date,china_year,boxoffice_china(100million),type_action,type_adventure,type_animation,type_comedy,type_crime,type_drama,type_fantasy,type_horror,type_other,type_romance,type_sci-fi,type_thriller,boxoffice_china(100million)_red,taiwan_day_Friday,taiwan_day_Thursday,taiwan_day_Tuesday,taiwan_day_Wednesday,taiwan_month_April,taiwan_month_August,taiwan_month_December,taiwan_month_February,taiwan_month_January,taiwan_month_July,taiwan_month_June,taiwan_month_March,taiwan_month_May,taiwan_month_November,taiwan_month_October,taiwan_month_September,china_day_Friday,china_day_Monday,china_day_Saturday,china_day_Sunday,china_day_Thursday,china_day_Tuesday,china_day_Wednesday,china_month_April,china_month_August,china_month_December,china_month_February,china_month_January,china_month_July,china_month_June,china_month_March,china_month_May,china_month_November,china_month_October,china_month_September
4363,190,Upside Down,41191,9,2012,0,1,41,101,97,969,3.5,791,1700,41340,7,2013,0.73,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4364,66,Stolen,41173,21,2012,0,1,36,96,97,243,4.2,356,1500,41334,1,2013,0.43,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4365,135,Monsters University,41453,28,2013,0,1,51,111,99,3394,4.5,1242,10100,41509,23,2013,2.08,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4371,217,JACK REACHER,41270,27,2012,0,2,10,130,98,595,4.4,1180,6100,41321,16,2013,0.95,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4372,111,Oz the Great and Powerful,41348,15,2013,0,2,10,130,98,484,4,431,1800,41362,29,2013,1.62,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4376,908,Life of Pi,41234,21,2012,0,2,7,127,98,2006,4.7,5895,22900,41235,22,2012,5.73,0,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4380,24,The Expatriate,41173,21,2012,0,1,45,105,83,101,4.1,141,382,41194,12,2012,0.13,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4476,101,The Croods,41367,3,2013,0,1,39,99,92,188,4.4,487,1599,41384,20,2013,3.948,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4488,636,IRON MAN 3,41388,24,2013,0,2,11,131,99,4863,4.7,3854,23000,41395,1,2013,7.49,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
4493,136,A GOOD DAY TO DIE HARD,41313,8,2013,0,1,36,96,99,1000,4.2,692,6600,41347,14,2013,1.98,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4507,20,The Thieves,41264,21,2012,0,2,16,136,81,138,3.5,114,72,41289,15,2013,0.22,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4518,10,Jurassic Park 3D,41397,3,2013,0,2,7,127,66,419,4.1,93,76,41506,20,2013,3.44,0,0,0,0,0,1,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4525,440,Machi Action,41292,18,2013,0,1,36,96,95,2926,4.6,3211,1600,41383,19,2013,0.02,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4526,95,THE LONE RANGER,41473,18,2013,0,2,29,149,97,516,4.1,378,1200,41552,5,2013,0.79,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4534,81,The Last Stand,41292,18,2013,0,1,48,108,92,166,4.6,294,328,41571,24,2013,0.48,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4537,176,The Impossible,41306,1,2013,0,1,54,114,96,473,4.6,894,2000,41515,29,2013,0.54,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4540,10,Life without Principle,41243,30,2012,0,1,46,106,63,8,4.1,94,11,40942,3,2012,0.26,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4547,217,A Werewolf Boy,41271,28,2012,0,2,6,126,95,819,4.7,1488,661,41627,19,2013,0.02,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4553,248,After Earth,41430,5,2013,0,1,40,100,97,1040,2.9,756,2400,41467,12,2013,2.13,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4557,228,Star Trek Into Darkness,41404,10,2013,0,2,12,132,97,465,4.8,1309,3400,41422,28,2013,0.03,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4560,401,OBLIVION,41375,11,2013,0,2,4,124,98,685,4.3,1439,5400,41404,10,2013,1.47,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4566,191,JACK THE GIANT SLAYER,41332,27,2013,0,1,44,104,97,416,4.5,927,3300,41358,25,2013,0.53,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4569,614,MAN OF STEEL,41437,12,2013,0,2,23,143,96,1029,4.3,2028,7000,41445,20,2013,3.92,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4584,213,The Wolverine,41481,26,2013,0,2,6,126,97,1048,3.9,848,4100,41564,17,2013,2.49,1,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4587,855,PACIFIC RIM,41466,11,2013,0,2,11,131,96,1505,4.5,4013,12300,41486,31,2013,6.9,1,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4588,5,SMURFS 2,41509,23,2013,0,1,45,105,86,227,3.7,73,509,41529,12,2013,1.35,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4591,502,Journey to the West: Conquering the Demons,41312,7,2013,0,1,50,110,83,673,4.1,1496,2700,41315,10,2013,12.4,0,1,0,0,0,1,1,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4623,438,OLYMPUS HAS FALLEN,41355,22,2013,0,2,0,120,97,272,4.7,2188,4700,41637,29,2013,0.36,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4624,220,Saving General Yang,41367,3,2013,0,1,42,102,91,574,4.4,921,870,41368,4,2013,0.61,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4625,27,Fly Me to the Moon,41341,8,2013,0,1,45,105,76,70,4.2,138,89,41572,25,2013,0.3,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4631,559,FAST & FURIOUS 6,41416,22,2013,0,2,10,130,99,4106,4.8,4403,16400,41481,26,2013,4.11,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4634,166,CITY OF BONES,41516,30,2013,0,2,10,130,97,1036,4.2,797,1700,41642,3,2014,0.27,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4636,5,Justin & the Knights of Valour,41628,20,2013,0,1,30,90,77,94,3.1,27,52,41726,28,2014,0.09,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4648,625,RooFToP,41466,11,2013,0,2,0,120,84,1934,4.2,2135,712,41466,11,2013,1.18,1,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4678,7,Conspirators,41383,19,2013,0,1,43,103,90,78,3.7,54,32,41391,27,2013,0.22,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4680,25,Turbo,41488,2,2013,0,1,36,96,93,211,4.4,150,882,41535,18,2013,1.11,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4694,151,White House Down,41458,3,2013,0,2,12,132,91,258,4.5,782,2800,41477,22,2013,1.76,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4697,210,Elysium,41493,7,2013,0,1,50,110,97,445,4.1,816,4900,41522,5,2013,1.58,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4704,327,Now You See Me,41425,31,2013,0,1,55,115,99,619,4.7,2343,6800,41557,10,2013,1.41,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4705,2,Escape From Tibet,41411,17,2013,0,1,41,101,95,76,3.8,26,158,41582,4,2013,2.53,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4717,48,Christmas Rose,41417,23,2013,0,1,30,90,96,1554,4.1,269,319,41418,24,2013,0.21,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4718,139,Ender’s Game,41628,20,2013,0,1,54,114,95,310,4.2,443,1400,41646,7,2014,1.38,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4731,278,THOR  THE DARK WORLD,41578,31,2013,0,1,52,112,98,2096,4.7,1626,11700,41586,8,2013,3.39,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4758,65,RED 2,41474,19,2013,0,1,56,116,97,338,4.5,455,2200,41593,15,2013,0.55,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
